classroom,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30
room 1,31,31,31,31,54,54,54,54,54,54,54,54,54,54,54,54,680,680
room 2,44,44,44,44,44,44,44,44,44,44,1,1,1,1,1,1,714,714
room 3,58,58,58,2,2,2,2,2,7,7,25,25,25,25,25,25,25,
room 4,61,61,61,16,16,16,16,16,32,32,32,32,32,198,895,895,895,895
room 5,62,17,17,17,17,10,10,10,10,10,10,10,10,10,10,10,10,10
room 6,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,
room 7,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,724,724
room 8,100,100,100,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
room 9,103,103,103,103,103,103,13,4,4,4,4,21,21,21,912,912,805,805
room 10,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,807,807
room 11,120,120,120,120,120,120,33,60,60,12,12,12,12,12,12,12,12,
room 12,121,121,121,121,121,121,121,121,121,121,121,24,24,24,24,24,811,811
room 13,123,123,123,123,123,37,37,37,37,37,35,35,35,35,35,35,819,819
room 14,126,126,126,42,42,42,42,76,76,76,76,76,76,76,76,76,76,
room 15,131,131,131,131,131,131,131,131,131,131,131,131,131,207,207,207,207,207
room 16,147,147,147,147,91,91,91,91,91,91,91,91,91,91,91,3,3,3
room 17,159,159,159,159,159,159,159,159,159,15,95,28,28,28,28,28,28,28
room 18,164,164,164,164,164,164,164,164,164,164,164,36,36,36,36,11,11,11
room 19,170,170,170,170,170,170,34,34,34,20,20,59,59,59,59,29,29,29
room 20,189,189,189,47,47,47,48,48,48,48,48,48,48,48,48,48,820,820
room 21,190,190,190,190,190,190,72,72,72,72,102,102,109,109,109,109,109,109
room 22,194,194,194,194,194,194,194,194,194,194,194,194,119,226,226,226,840,840
room 23,210,210,210,210,210,45,45,45,45,45,136,136,127,127,127,127,127,
room 24,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,30,30,
room 25,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,43,43,
room 26,223,223,223,223,223,223,223,223,223,223,223,223,139,241,241,241,241,241
room 27,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,46,46,
room 28,260,260,260,260,260,260,260,260,260,260,260,260,260,252,252,252,252,
room 29,273,273,273,273,273,273,82,82,82,82,82,82,82,82,82,82,82,
room 30,279,279,279,279,279,279,101,101,101,101,101,101,144,330,330,161,161,161
room 31,286,286,286,49,49,49,49,49,49,49,49,49,49,49,49,171,171,
room 32,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,841,841
room 33,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,220,220,220
room 34,324,324,324,324,324,324,324,324,324,26,26,26,26,26,26,250,250,
room 35,325,325,325,325,325,325,124,124,124,124,124,124,124,124,124,124,124,124
room 36,334,334,334,334,334,334,334,334,334,334,334,334,199,199,199,199,199,199
room 37,345,345,345,345,345,345,345,345,345,345,345,345,345,341,341,293,293,293
room 38,415,415,415,415,415,415,415,415,415,415,415,64,64,64,64,64,876,876
room 39,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,305,305,
room 40,424,424,424,424,424,424,424,424,424,424,424,424,201,201,201,307,307,307
room 41,433,433,433,433,433,433,433,433,433,433,433,433,433,352,352,352,352,352
room 42,443,443,443,443,443,443,443,443,443,71,71,71,71,390,390,390,877,877
room 43,444,444,444,444,444,444,444,444,444,444,138,138,231,231,231,313,313,
room 44,460,460,460,460,460,460,460,460,460,81,184,68,68,68,68,68,893,893
room 45,466,466,466,466,466,466,466,466,466,466,466,129,129,129,129,129,129,129
room 46,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473
room 47,484,484,484,484,484,484,484,484,484,484,185,185,185,393,393,393,897,897
room 48,501,501,501,501,501,501,125,125,125,86,86,86,86,86,86,86,86,86
room 49,504,504,504,504,504,504,504,504,504,504,208,208,208,208,208,208,208,
room 50,505,505,505,505,505,505,505,505,50,50,50,50,283,283,283,326,326,326
room 51,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508
room 52,515,515,515,515,515,515,515,515,515,515,515,515,515,394,394,394,394,
room 53,516,516,516,516,106,106,106,106,106,106,106,106,106,106,106,106,106,
room 54,545,22,22,22,132,132,132,132,132,132,132,132,132,132,132,132,909,909
room 55,553,553,553,553,553,553,553,553,553,553,553,553,287,400,400,400,918,918
room 56,575,575,575,575,575,575,575,575,575,575,575,575,409,409,409,409,409,
room 57,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576
room 58,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579
room 59,606,606,606,606,606,606,606,606,606,606,606,606,416,426,426,426,426,
room 60,630,630,630,630,630,630,145,83,83,83,83,83,83,83,83,342,342,
room 61,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,
room 62,633,633,633,633,151,151,151,151,151,151,151,151,151,151,151,151,921,921
room 63,641,40,40,40,40,40,148,148,148,148,148,148,148,148,148,343,343,343
room 64,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,353,353,353
room 65,648,648,648,648,648,648,648,648,648,648,648,135,135,135,135,135,135,
room 66,650,650,650,650,650,650,650,650,650,650,650,650,650,478,478,478,478,478
room 67,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,
room 68,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,992,992
room 69,669,669,669,669,669,669,669,669,669,669,669,669,669,497,497,497,,
room 70,678,678,678,52,52,52,52,52,52,52,52,52,52,52,52,361,361,361
room 71,684,684,684,684,684,684,684,684,684,684,684,684,422,513,513,364,364,364
room 72,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701
room 73,707,707,707,707,707,707,707,707,707,707,707,707,707,526,526,526,,
room 74,711,711,711,711,711,711,711,711,711,711,711,711,711,546,546,546,546,546
room 75,729,729,729,729,729,729,729,729,729,729,729,729,729,550,550,389,389,
room 76,733,733,733,733,733,67,67,67,67,67,67,67,67,551,551,551,,
room 77,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,,
room 78,745,745,745,745,745,745,745,745,745,745,745,745,745,745,745,745,745,745
room 79,746,746,746,746,157,157,157,157,157,157,215,141,141,141,141,417,417,417
room 80,753,753,753,69,69,69,69,69,69,104,104,104,425,425,425,425,,
room 81,771,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,
room 82,796,796,796,796,796,796,796,796,796,796,796,796,796,558,558,558,558,
room 83,826,826,826,826,826,80,80,80,77,77,77,77,77,77,77,77,77,
room 84,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,
room 85,842,842,842,842,842,842,842,842,842,842,842,842,842,842,842,419,419,
room 86,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,,
room 87,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861
room 88,896,896,896,896,896,896,896,93,93,93,242,242,436,436,436,429,429,429
room 89,901,901,901,901,901,901,901,901,901,901,901,901,901,901,901,432,432,432
room 90,914,914,914,914,914,914,914,914,914,914,248,248,248,248,248,248,248,
room 91,919,919,919,919,919,919,919,919,919,118,118,118,442,442,442,442,,
room 92,931,931,931,931,931,931,931,931,931,931,931,931,453,453,453,453,,
room 93,934,934,934,934,934,934,934,934,934,934,934,934,934,561,561,561,,
room 94,946,946,946,75,75,75,75,75,75,75,75,75,456,612,612,439,439,439
room 95,949,949,949,949,949,949,949,949,949,949,257,155,155,155,155,457,457,457
room 96,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,
room 97,981,981,981,981,981,981,981,981,981,981,981,981,981,617,617,617,617,617
room 98,997,997,997,997,997,997,997,997,997,997,997,997,507,625,625,625,625,
room 99,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998
room 100,,56,56,56,56,56,56,97,97,97,97,167,167,167,167,458,458,
room 101,,110,110,110,110,110,110,110,89,89,89,89,89,89,89,89,89,89
room 102,,117,117,117,117,117,117,117,117,117,117,117,117,117,117,527,527,
room 103,,122,122,78,78,78,78,78,78,78,78,78,78,78,78,540,540,540
room 104,,160,160,160,160,160,160,160,160,160,160,160,512,512,512,512,512,
room 105,,172,172,172,172,172,172,172,172,172,172,192,192,192,192,192,192,
room 106,,195,195,195,195,195,195,195,195,195,195,195,195,654,654,654,654,
room 107,,196,196,196,196,196,196,196,196,196,196,209,209,209,209,573,573,
room 108,,204,204,204,204,204,204,204,204,204,204,225,225,225,225,225,225,
room 109,,205,205,205,205,205,205,205,205,205,205,205,205,697,697,578,578,
room 110,,236,236,236,236,236,236,236,236,236,236,237,519,519,519,519,,
room 111,,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,
room 112,,261,261,261,261,261,261,99,99,99,99,99,99,99,99,99,,
room 113,,265,265,265,265,265,265,113,113,113,113,239,239,239,239,239,239,239
room 114,,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303
room 115,,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,,
room 116,,333,333,333,333,333,333,333,333,137,137,137,137,137,137,137,,
room 117,,336,336,336,336,336,336,336,336,336,336,336,336,712,712,712,712,
room 118,,379,379,379,379,379,379,379,90,90,90,270,521,715,715,715,,
room 119,,405,405,405,405,405,405,405,96,96,96,96,96,96,96,96,96,
room 120,,410,410,410,410,410,410,410,410,410,264,264,264,264,264,264,264,264
room 121,,420,420,420,420,420,420,420,420,420,420,420,539,539,539,590,590,590
room 122,,431,431,431,168,168,168,168,168,168,168,168,168,168,168,168,168,168
room 123,,450,450,450,450,450,450,450,450,450,450,450,542,542,542,542,542,542
room 124,,468,468,468,468,468,468,468,468,468,274,274,274,274,274,609,609,
room 125,,476,476,476,476,476,476,476,476,476,476,476,476,749,749,749,749,749
room 126,,488,488,488,488,488,488,488,488,488,488,488,488,488,488,613,613,
room 127,,498,498,498,498,88,88,88,88,149,149,149,149,149,149,638,638,638
room 128,,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,,
room 129,,555,555,555,555,555,555,555,115,115,115,115,115,115,115,115,115,
room 130,,570,570,570,570,570,570,570,570,570,570,570,570,765,765,765,,
room 131,,583,583,583,583,583,583,583,583,583,583,583,583,783,783,783,783,783
room 132,,594,594,594,594,594,594,594,594,594,594,594,594,594,594,649,649,649
room 133,,607,607,607,607,607,158,158,158,158,158,158,158,158,158,158,,
room 134,,627,627,627,627,627,627,627,627,627,627,627,627,627,627,627,,
room 135,,647,647,647,647,647,647,647,647,647,281,281,281,818,818,818,,
room 136,,668,668,668,668,668,668,668,140,140,140,140,566,837,837,656,656,
room 137,,694,694,694,694,694,694,694,694,694,694,694,584,584,584,584,584,584
room 138,,695,695,695,173,173,173,173,173,150,150,150,150,150,150,660,660,660
room 139,,698,698,698,698,698,698,698,698,698,698,278,278,278,278,278,278,
room 140,,717,717,717,717,717,717,717,146,146,146,146,146,146,146,146,,
room 141,,738,738,738,738,738,175,175,175,175,175,294,294,294,294,294,,
room 142,,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,
room 143,,763,763,763,214,214,214,214,214,214,214,214,214,214,214,664,664,664
room 144,,786,786,786,786,92,92,92,92,92,306,306,306,870,870,870,,
room 145,,790,790,790,790,790,790,790,156,156,156,156,591,591,591,591,591,591
room 146,,799,799,799,799,799,799,799,799,799,315,315,315,315,315,676,676,
room 147,,829,829,829,829,829,829,829,829,829,829,829,829,829,829,681,681,
room 148,,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834
room 149,,869,869,869,869,869,869,869,869,869,869,296,296,882,882,882,882,
room 150,,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,
room 151,,915,915,915,915,915,181,181,178,178,178,178,178,178,178,691,691,691
room 152,,924,924,924,263,263,263,263,263,263,263,263,263,263,263,263,263,
room 153,,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925
room 154,,926,926,926,926,926,926,926,926,926,926,926,926,926,926,926,,
room 155,,942,942,942,942,942,942,942,942,942,942,942,942,884,884,730,730,730
room 156,,947,947,947,947,947,947,947,947,947,947,947,600,600,600,600,600,
room 157,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
room 158,,,,87,87,87,87,87,87,87,87,87,629,922,922,922,,
room 159,,,,112,112,112,112,112,112,112,112,112,112,112,112,112,,
room 160,,,,130,130,130,130,130,130,130,130,299,299,299,299,731,731,731
room 161,,,,154,154,154,154,154,154,154,154,304,304,304,304,304,,
room 162,,,,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
room 163,,,,166,166,166,166,166,166,166,166,166,166,166,166,166,166,
room 164,,,,176,176,176,176,176,176,176,176,176,176,176,176,176,176,
room 165,,,,245,245,245,245,245,245,245,245,245,245,929,929,766,766,
room 166,,,,271,271,271,271,271,271,271,271,271,634,634,634,788,788,788
room 167,,,,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346
room 168,,,,347,347,347,347,347,347,347,321,321,321,321,321,321,321,
room 169,,,,349,349,349,349,349,349,349,349,349,349,349,349,349,349,
room 170,,,,363,363,363,200,200,200,200,200,200,643,643,643,643,643,
room 171,,,,377,377,377,377,128,128,128,335,335,662,662,662,662,,
room 172,,,,395,395,395,395,395,395,395,395,395,395,395,395,395,,
room 173,,,,423,423,423,423,423,423,423,423,310,310,310,310,310,310,
room 174,,,,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427
room 175,,,,454,454,454,454,454,454,454,454,454,454,454,454,454,454,
room 176,,,,462,462,462,462,462,462,462,462,462,462,462,462,798,798,
room 177,,,,475,475,475,475,475,475,475,475,475,475,475,475,475,,
room 178,,,,491,491,491,491,491,491,491,491,317,317,317,317,317,317,317
room 179,,,,494,494,494,494,197,179,179,179,179,179,953,953,953,,
room 180,,,,514,514,514,514,514,514,514,514,382,382,382,382,382,382,
room 181,,,,626,269,269,269,212,212,212,212,386,386,386,386,801,801,801
room 182,,,,655,655,655,655,655,655,655,655,655,655,655,655,655,,
room 183,,,,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675
room 184,,,,679,679,679,679,679,183,183,350,392,392,392,392,831,831,831
room 185,,,,685,685,685,685,217,217,217,217,217,217,217,217,217,217,217
room 186,,,,703,703,703,703,230,230,230,230,230,230,230,230,230,230,230
room 187,,,,721,721,721,721,721,721,153,153,153,153,970,970,871,871,871
room 188,,,,723,723,723,723,723,723,180,180,180,180,180,180,180,,
room 189,,,,757,757,757,757,757,757,757,757,757,757,757,757,886,886,
room 190,,,,770,770,770,770,770,770,191,365,365,365,365,365,365,365,365
room 191,,,,782,782,782,782,782,782,782,782,782,782,782,65,65,65,65
room 192,,,,827,827,827,827,827,827,827,827,827,827,827,827,827,827,
